Фамилия|Имя|Отчество|Должность|Приказ|Год|РодНаграды
Абакумов|Виктор||Начальник связи 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Абакумов|Константин||Санитар. Экспед. отр.|Прик.РВСР № 147|1923 г.|Орден Красного Знамени
Абатуров|Иван||Нач. пулемета 88 стр. полка|Прик.РВСР № 157|1920 г.|Орден Красного Знамени
Абатуров|Петр||Красноармеец 1 Зав. стр. полка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Абашев|Дмитрий||Ком. 1 эск. 1 кав. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Абрамов|Александр|Ефимович|Красноармеец 1 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Абдрахманов|Хабидрахман||Красноармеец 96 стр. полка|Прик.РВСР № 66|1922 г.|Орден Красного Знамени
Абдугалиев|Омирзак||Красноармеец 4 стр. полка|Прик.РВСР № 355|1924 г.|Орден Красного Знамени
Абдужабаров|Айдарбек||Зав. Самарканд. Областн. Отд. Управления|Прик.РВСР № 147|1923 г.|Орден Красного Знамени
Абдулин|Рахматум||Красноармеец 2 Башкир. кав. полка|Прик.РВСР № 34|1922 г.|Орден Красного Знамени
Абель|Вольдемар||Помкомсанроты 47 бригады|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Абзамиров|Хабир||Красноармеец 5 Турк. стр. полка|Прик.РВСР № 184|1922 г.|Орден Красного Знамени
Абид-Алимов|||Красноармеец 5 Турк. стр. полка|Прик.РВСР № 260|1925 г.|Орден Красного Знамени
Аболь|Рудольф|Яковлевич|Пом. комвзвода 13 стр. полка 2 стр. див.|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Аболкалин|Рудольф|Оттович|Ком. взвода 1 лег. арт. див. быв. Латвийской дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Абраменко|Давид|Андреевич|Красноармеец кав. полка бригады Котовского|Прик.РВСР № 156|1922 г.|Орден Красного Знамени
Абраменко|Денис|Давыдовыч|Красноармеец 536 кав. полка|Прик.РВСР № 40|1922 г.|Орден Красного Знамени
Абрамов|||Помкомполка 139 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Абрамов|Александр|Ефимович|Красноармеец 1 кав. полка|Прик.РВСР № 107|1925 г.|Орден Красного Знамени
Абрамов|Александр|Николаевич|Красноармеец 1 конполка 3 марш. эскадрона|Прик.РВСР № 32|1920 г.|Орден Красного Знамени
Абрамов|Алексей|Павлович|Комвзвода 1 арт. дивизиона|Прик.РВСР № 336|1920 г.|Орден Красного Знамени
Абрамов|Алексей|Степанович|Красноармеец 42 кавполка 4 кав. дивизии.|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Абрамов|Василий|Сергеевич|Политрук 242 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Абрамов|Василий|Федорович|Комвзвод 1 Турк. стр. полка|Прик.РВСР № 184|1922 г.|Орден Красного Знамени
Абрамов|Виктор||Курсант 26 Оренб. ком. пех. курсов|Прик.РВСР № 42|1921 г.|Орден Красного Знамени
Абрамов|Никита||Курсант 2 полка отд. св. бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Абрамов|Петр||Ком. эскадрона|Прик.РВСР № 304|1920 г.|Орден Красного Знамени
